"id","city_id","type","name"
321,86,"restaurant","Bijan's Bistro"
322,86,"restaurant","Tavern on Rush"
323,86,"restaurant","Aurelio's Pizza"
324,86,"restaurant","676 Restaurant & Bar"
325,86,"restaurant","Chez Joel"
326,86,"restaurant","Italian Village Restaurant"
327,86,"restaurant","Exchequer Restaurant & Pub"
328,86,"restaurant","Everest"
329,86,"restaurant","MingHin Cuisine"
330,86,"restaurant","Butch Mc Guires Tavern"
331,86,"restaurant","The Rosebud"
332,86,"restaurant","The Berghoff Restaurant"
333,86,"restaurant","Weber Grill Restaurant"
334,86,"restaurant","M. Henry"
335,86,"restaurant","House of Blues Restaurant & Bar Chicago"
336,86,"restaurant","Connie's Pizza"
337,86,"restaurant","Hot Woks Cool Sushi"
458,87,"restaurant","Wood"
338,86,"restaurant","Fahlstrom's Fresh Fish Market"
339,86,"restaurant","State and Lake Chicago Tavern"
340,86,"restaurant","Butcher & The Burger"
341,86,"restaurant","The Signature Room at the 95th"
342,86,"restaurant","Rosebud Prime"
343,86,"restaurant","The Original Pancake House"
344,86,"restaurant","Labriola"
345,87,"restaurant","90 Miles Cuban Cafe"
346,87,"restaurant","Giordano's"
347,87,"restaurant","Goose Island Brewhouse"
348,87,"restaurant","Cheesie's Pub and Grub"
349,87,"restaurant","Emerald Loop"
350,87,"restaurant","Sayat Nova"
351,87,"restaurant","The Vig Chicago"
352,87,"restaurant","Valois Restaurant"
353,87,"restaurant","Naf Naf Grill"
354,87,"restaurant","Pizzeria Due"
355,87,"restaurant","Pizano's Pizza & Pasta"
356,87,"restaurant","Sweetwater Tavern & Grille"
357,87,"restaurant","North Pond"
358,87,"restaurant","Terrace 16"
359,87,"restaurant","Murphy's Bleachers"
360,87,"restaurant","Summer House Santa Monica"
361,87,"restaurant","The Kitchen American Bistro"
362,87,"restaurant","The Grillroom Chophouse & Wine Bar"
363,87,"restaurant","Proxi"
364,87,"restaurant","Rockit Bar & Grill"
365,87,"restaurant","Cafe Iberico"
366,87,"restaurant","R.J. Grunts"
367,87,"restaurant","Bad Apple"
368,87,"restaurant","Margeaux Brasserie"
369,87,"restaurant","PICCOLO SOGNO DUE"
370,87,"restaurant","Imperial Lamian"
371,87,"restaurant","Wishbone Restaurant"
372,87,"restaurant","Ocean Prime"
373,87,"restaurant","Broken English Taco Pub"
374,87,"restaurant","Rock Bottom Restaurant & Brewery"
375,87,"restaurant","Ocean Cut"
376,87,"restaurant","Public House"
377,87,"restaurant","Star of Siam"
378,87,"restaurant","Spiaggia Restaurant"
379,87,"restaurant","Ming Hin Cuisine"
380,87,"restaurant","Two Restaurant & Bar"
381,87,"restaurant","Giant"
382,87,"restaurant","The Bongo Room"
383,87,"restaurant","Rebar"
384,87,"restaurant","Meli Cafe"
385,87,"restaurant","Taste of Peru"
386,87,"restaurant","The Grill on the Alley"
387,87,"restaurant","Terzo Piano"
388,87,"restaurant","Yoshi's Cafe"
389,87,"restaurant","American Girl Place Chicago Cafe"
390,87,"restaurant","Nando Milano Trattoria"
391,87,"restaurant","DMK Burger Bar"
392,87,"restaurant","EL Ideas"
393,87,"restaurant","Fisk & Co."
394,87,"restaurant","Cantina Laredo"
395,87,"restaurant","Giordano's"
396,87,"restaurant","Gino's East South Loop"
397,87,"restaurant","Brunch Restaurant"
398,87,"restaurant","Francesca's On Taylor"
399,87,"restaurant","Little Bad Wolf"
400,87,"restaurant","KiKi's Bistro"
401,87,"restaurant","Sofi Restaurant"
402,87,"restaurant","Band of Bohemia"
403,87,"restaurant","Osteria La Madia"
404,87,"restaurant","Coq D'Or"
405,87,"restaurant","Upstairs at the Gwen"
406,87,"restaurant","Pizano's Pizza in The Loop"
407,87,"restaurant","Vapiano Chicago Loop"
408,87,"restaurant","Publican Quality Meats"
409,87,"restaurant","Elephant & Castle"
410,87,"restaurant","Irazu"
411,87,"restaurant","The J. Parker"
412,87,"restaurant","Mario's Table"
413,87,"restaurant","Orso's Restaurant"
414,87,"restaurant","Monk's Pub"
415,87,"restaurant","Gale Street Inn"
416,87,"restaurant","Theory Sports Bar & Grill"
417,87,"restaurant","Viaggio"
418,87,"restaurant","Heaven on Seven - N Wabash"
419,87,"restaurant","Glenn's Diner"
420,87,"restaurant","Sweet Maple Cafe"
421,87,"restaurant","Pippin's Tavern"
422,87,"restaurant","Cochon Volant"
423,87,"restaurant","Quality Crab & Oyster Bah"
424,87,"restaurant","Stella's Diner"
425,87,"restaurant","California Pizza Kitchen"
426,87,"restaurant","Latinicity"
427,87,"restaurant","Gino's East"
428,87,"restaurant","Club Lucky"
429,87,"restaurant","Elephant & Castle"
430,87,"restaurant","Formento's"
431,87,"restaurant","Geja's Cafe"
432,87,"restaurant","Kim and Carlo's"
433,87,"restaurant","Tao Chicago"
434,87,"restaurant","Lady Gregory's Bar and Restaurant"
435,87,"restaurant","Smyth + The Loyalist"
436,87,"restaurant","Roister"
437,87,"restaurant","Billy Goat Tavern"
438,87,"restaurant","La Cantina Grill"
439,87,"restaurant","The Windsor"
440,87,"restaurant","The Palm Chicago"
441,87,"restaurant","Flo & Santos"
442,87,"restaurant","Half Shell"
443,87,"restaurant","Indian Garden Restaurant"
444,87,"restaurant","Angelina Ristorante"
445,87,"restaurant","Owen and Engine"
446,87,"restaurant","Le Pain Quotidien"
447,87,"restaurant","Hard Rock Cafe"
448,87,"restaurant","Bockwinkel's"
449,87,"restaurant","Pasta D'Arte"
450,87,"restaurant","Grange Hall Burger Bar"
451,87,"restaurant","Tweet"
452,87,"restaurant","La Sardine"
453,87,"restaurant","Qing Xiang Yuan Dumplings"
454,87,"restaurant","5 Rabanitos Restaurante & Taqueria"
455,87,"restaurant","Mother Hubbard's Sports Pub"
456,87,"restaurant","Joy Yee Noodles"
457,87,"restaurant","Pierogi Heaven"
459,87,"restaurant","Beatrix"
460,87,"restaurant","Basil Leaf Cafe"
461,87,"restaurant","Whole Foods Market"
462,87,"restaurant","GT Prime Steakhouse"
463,87,"restaurant","Lockwood Restaurant and Bar"
464,87,"restaurant","Corner Bakery Cafe"
465,87,"restaurant","Eno"
466,87,"restaurant","Forbidden Root"
467,87,"restaurant","Bella Bacino's"
468,87,"restaurant","Harry Caray’s 7th Inning Stretch Water Tower"
469,87,"restaurant","Burger Bar Chicago"
470,87,"restaurant","Wheat's End Cafe"
471,87,"restaurant","Bryn Mawr Breakfast Club"
472,87,"restaurant","Lucky's Sandwich Company"
473,87,"restaurant","Over Easy Cafe"
474,87,"restaurant","SafeHouse Chicago"
475,87,"restaurant","Chicago Chop House"
